井名,深度,GR,SP,AC,AC1,CAL,U,DEN,DEN1,CNL,CNL1,PE,RD,RS,log（RD）,log（RS）,m2r3,m2r6,m2r9,POR,SW,PERM,试油结论,层位,∆ Φ1,∆ Φ2,∆ Φ3,备注,y_fine,y_coarse
靖53-1,4285.0,17.804,30.437,159.915,0.611,21.689,1.464,2.743,0.089,3.933,0.08,3.65,312.95,345.971,2.49547495588931,2.53903969686269,160.561,160.561,160.27,0.01,100.0,0.001,气层,马五41a,-0.0435647409733733,-0.00899999999999999,0.691,单采,气层,气层优势类
靖53-1,4285.125,19.985,30.231,160.901,0.589,21.697,1.68,2.739,0.11,3.953,0.082,3.549,290.998,322.37,2.46389000413385,2.50835461923518,159.558,159.558,159.151,0.01,100.0,0.001,气层,马五41a,-0.0444646151013282,-0.028,0.671,单采,气层,气层优势类
靖53-1,4285.25,23.094,30.03,162.064,0.524,21.701,2.024,2.727,0.135,3.823,0.069,3.605,284.926,315.878,2.45473208118515,2.49951937958886,161.888,161.888,161.337,0.01,100.0,0.001,气层,马五41a,-0.0447872984037123,-0.066,0.593,单采,气层,气层优势类
靖53-1,4285.375,28.887,29.693,162.801,0.416,21.696,2.613,2.707,0.151,3.412,0.027,3.937,299.403,331.664,2.47625614763335,2.5206983341971,163.423,163.423,162.731,0.01,100.0,0.001,气层,马五41a,-0.0444421865637485,-0.124,0.443,单采,气层,气层优势类
靖53-1,4285.5,29.902,29.55,163.071,0.357,21.69,2.716,2.696,0.157,3.14,0.0,4.182,308.254,341.512,2.48890872084492,2.53340596846329,160.766,160.766,159.727,0.01,100.0,0.001,气层,马五41a,-0.0444972476183736,-0.157,0.357,单采,气层,气层优势类
靖53-1,4285.625,28.742,29.436,163.247,0.341,21.69,2.632,2.693,0.161,3.173,0.003,4.238,313.046,347.133,2.49560815888291,2.54049590159035,153.583,153.583,152.436,0.01,100.0,0.001,气层,马五41a,-0.0448877427074375,-0.158,0.344,单采,气层,气层优势类
靖53-1,4285.75,25.845,29.355,163.488,0.335,21.7,2.364,2.692,0.166,3.348,0.021,4.213,312.02,346.586,2.49418243251606,2.53981101583449,140.415,140.415,139.204,0.01,100.0,0.001,气层,马五41a,-0.0456285833184316,-0.145,0.356,单采,气层,气层优势类
靖53-1,4285.875,19.938,29.296,163.635,0.368,21.738,1.764,2.698,0.169,3.78,0.064,3.993,293.967,328.049,2.46829858033633,2.51593871822457,127.629,127.629,126.424,0.01,100.0,0.001,气层,马五41a,-0.0476401378882403,-0.105,0.432,单采,气层,气层优势类
靖53-1,4286.0,18.178,29.32,163.676,0.411,21.752,1.624,2.706,0.17,4.248,0.111,3.784,273.39,306.109,2.43678262499316,2.48587609860379,110.05,110.05,108.896,0.133,98.489,0.001,气层,马五41a,-0.0490934736106352,-0.059,0.522,单采,气层,气层优势类
靖53-1,4286.125,17.249,29.379,163.706,0.438,21.757,1.584,2.711,0.171,4.675,0.154,3.685,246.549,277.227,2.39190324537714,2.44283552529034,101.066,101.066,99.94,2.642,67.917,0.01,气层,马五41a,-0.0509322799132006,-0.017,0.592,单采,气层,气层优势类
靖53-1,4286.25,16.817,29.48,163.669,0.459,21.753,1.572,2.715,0.17,5.15,0.202,3.586,216.263,244.496,2.33498222322851,2.38827175837932,95.29,95.29,94.175,2.638,70.27,0.01,气层,马五41a,-0.0532895351508142,0.032,0.661,单采,气层,气层优势类
