井名,深度,GR,SP,AC,CAL,DEN,CNL,PE,RD,SW,RD_RS_ratio,y_fine,y_coarse
靖43,3843.0,17.616,46.831,195.16,21.706,2.724,9.138,3.096,115.767,100.0,1.03,气层,气层优势类
靖43,3843.125,17.443,46.847,192.736,21.692,2.732,9.113,3.05,122.979,100.0,1.03,气层,气层优势类
靖43,3843.25,18.162,46.875,189.073,21.687,2.735,9.287,2.99,128.559,100.0,1.03,气层,气层优势类
靖43,3843.375,19.838,46.909,184.1,21.691,2.733,9.48,2.929,131.89,100.0,1.02,气层,气层优势类
靖43,3843.5,21.631,46.947,178.926,21.73,2.723,9.599,2.906,132.659,100.0,1.02,气层,气层优势类
靖43,3843.625,22.186,46.983,175.785,21.835,2.706,9.658,2.919,130.194,100.0,1.02,气层,气层优势类
靖43,3843.75,21.769,47.017,175.337,21.996,2.687,9.694,2.956,124.701,100.0,1.03,气层,气层优势类
靖43,3843.875,21.32,47.046,178.199,22.129,2.671,9.703,3.003,117.847,100.0,1.03,气层,气层优势类
靖43,3844.0,21.51,47.071,182.503,22.153,2.663,9.703,3.048,111.185,100.0,1.03,气层,气层优势类
靖43,3844.125,22.062,47.091,184.989,22.1,2.664,9.753,3.085,105.983,100.0,1.03,气层,气层优势类
靖43,3844.25,22.219,47.108,186.023,22.061,2.67,9.859,3.121,103.732,100.0,1.04,气层,气层优势类
靖43,3844.375,22.029,47.126,187.212,22.073,2.674,9.974,3.168,104.608,100.0,1.04,气层,气层优势类
靖43,3844.5,21.964,47.146,188.938,22.087,2.675,10.035,3.224,108.635,100.0,1.04,气层,气层优势类
靖43,3844.625,22.461,47.173,190.334,22.066,2.678,10.005,3.265,115.46,100.0,1.04,气层,气层优势类
靖43,3844.75,23.074,47.208,191.944,22.023,2.686,9.97,3.284,124.161,100.0,1.04,气层,气层优势类
靖43,3844.875,23.254,47.257,194.888,21.99,2.698,9.957,3.291,133.893,100.0,1.04,气层,气层优势类
靖43,3845.0,22.948,47.321,196.66,21.969,2.713,9.837,3.297,145.156,100.0,1.04,气层,气层优势类
靖53-1,4285.0,17.804,30.437,159.915,21.689,2.743,3.933,3.65,312.95,100.0,0.905,气层,气层优势类
靖53-1,4285.125,19.985,30.231,160.901,21.697,2.739,3.953,3.549,290.998,100.0,0.903,气层,气层优势类
靖53-1,4285.25,23.094,30.03,162.064,21.701,2.727,3.823,3.605,284.926,100.0,0.902,气层,气层优势类
靖53-1,4285.375,28.887,29.693,162.801,21.696,2.707,3.412,3.937,299.403,100.0,0.903,气层,气层优势类
靖53-1,4285.5,29.902,29.55,163.071,21.69,2.696,3.14,4.182,308.254,100.0,0.903,气层,气层优势类
靖53-1,4285.625,28.742,29.436,163.247,21.69,2.693,3.173,4.238,313.046,100.0,0.902,气层,气层优势类
靖53-1,4285.75,25.845,29.355,163.488,21.7,2.692,3.348,4.213,312.02,100.0,0.9,气层,气层优势类
靖53-1,4285.875,19.938,29.296,163.635,21.738,2.698,3.78,3.993,293.967,100.0,0.896,气层,气层优势类
靖53-1,4286.0,18.178,29.32,163.676,21.752,2.706,4.248,3.784,273.39,98.489,0.893,气层,气层优势类
靖53-1,4286.125,17.249,29.379,163.706,21.757,2.711,4.675,3.685,246.549,67.917,0.889,气层,气层优势类
靖53-1,4286.25,16.817,29.48,163.669,21.753,2.715,5.15,3.586,216.263,70.27,0.885,气层,气层优势类
靖53-1,4286.375,16.297,29.752,163.602,21.738,2.713,5.94,3.399,167.85,53.242,0.874,气层,气层优势类
靖53-1,4286.5,15.832,29.928,163.482,21.734,2.71,6.533,3.282,151.644,43.958,0.868,气层,气层优势类
靖53-1,4286.625,15.058,30.124,163.257,21.732,2.712,6.773,3.265,141.254,44.254,0.862,气层,气层优势类
靖53-1,4286.75,14.05,30.349,162.674,21.729,2.715,6.889,3.285,136.363,44.307,0.858,气层,气层优势类
靖53-1,4286.875,12.654,30.815,162.1,21.722,2.717,6.977,3.326,137.631,43.645,0.852,气层,气层优势类
靖53-1,4287.0,12.461,31.077,161.714,21.72,2.719,7.031,3.328,141.911,43.592,0.849,气层,气层优势类
靖53-1,4287.125,12.438,31.356,161.427,21.721,2.724,7.012,3.289,146.625,44.391,0.847,气层,气层优势类
靖53-1,4287.25,12.6,31.668,161.263,21.726,2.731,6.91,3.214,150.541,45.458,0.845,气层,气层优势类
靖53-1,4287.375,13.501,32.292,161.301,21.746,2.733,6.701,3.138,154.213,44.689,0.842,气层,气层优势类
靖53-1,4287.5,14.223,32.636,161.489,21.763,2.729,6.59,3.144,155.258,42.025,0.842,气层,气层优势类
靖53-1,4287.625,14.949,33.0,161.752,21.782,2.722,6.624,3.237,155.922,39.855,0.842,气层,气层优势类
靖53-1,4287.75,15.565,33.403,162.249,21.801,2.715,6.702,3.387,155.615,38.717,0.842,气层,气层优势类
靖53-1,4287.875,15.955,34.197,162.479,21.825,2.712,6.82,3.569,152.759,38.148,0.843,气层,气层优势类
靖53-1,4288.0,15.556,34.618,162.236,21.839,2.71,6.916,3.654,151.598,37.576,0.844,气层,气层优势类
延948-2,4181.0,24.316,38.752,170.532,21.408,2.688,2.734,3.714,357.666,65.692,1.02,气层,气层优势类
延948-2,4181.125,24.734,38.608,169.354,21.394,2.691,2.522,3.746,440.282,63.077,1.05,气层,气层优势类
延948-2,4181.25,26.367,38.486,167.625,21.526,2.694,2.4,3.765,523.483,62.83,1.09,气层,气层优势类
延948-2,4181.375,28.908,38.387,166.048,21.676,2.694,2.4,3.767,564.13,64.653,1.1,气层,气层优势类
延948-2,4181.5,31.426,38.312,164.987,21.739,2.691,2.506,3.766,548.817,67.643,1.08,气层,气层优势类
延948-2,4181.625,32.812,38.258,164.446,21.751,2.685,2.687,3.753,492.784,69.388,1.04,气层,气层优势类
延948-2,4181.75,32.095,38.223,164.259,21.769,2.679,2.88,3.739,461.002,65.524,1.02,气层,气层优势类
延948-2,4181.875,30.289,38.206,164.017,21.799,2.676,3.013,3.72,460.661,60.177,1.05,气层,气层优势类
延948-2,4182.0,28.873,38.203,163.425,21.824,2.678,3.041,3.672,465.374,58.674,1.07,气层,气层优势类
延948-2,4182.125,28.939,38.213,162.626,21.823,2.686,2.971,3.589,447.402,63.937,1.08,气层,气层优势类
延948-2,4182.25,30.301,38.232,162.162,21.794,2.696,2.858,3.483,405.91,75.462,1.06,气层,气层优势类
延948-2,4182.375,32.987,38.257,162.529,21.755,2.703,2.758,3.386,359.968,92.863,1.04,气层,气层优势类
延948-2,4182.5,37.348,38.287,163.64,21.741,2.706,2.725,3.362,328.611,100.0,1.04,气层,气层优势类
延948-2,4182.625,43.308,38.318,164.922,21.756,2.705,2.774,3.456,307.733,100.0,1.04,气层,气层优势类
延948-2,4182.75,49.287,38.35,165.831,21.777,2.706,2.891,3.58,296.598,100.0,1.04,气层,气层优势类
延948-2,4182.875,52.796,38.379,166.111,21.769,2.711,3.024,3.664,294.893,100.0,1.04,气层,气层优势类
延948-2,4183.0,53.278,38.406,165.679,21.724,2.719,3.131,3.712,302.683,100.0,1.03,气层,气层优势类
延948-2,4183.125,52.513,38.429,164.792,21.667,2.728,3.185,3.712,327.269,100.0,1,气层,气层优势类
延948-2,4183.25,52.513,38.448,164.172,21.647,2.733,3.188,3.697,384.851,100.0,0.982,气层,气层优势类
延948-2,4183.375,52.084,38.462,164.039,21.689,2.731,3.129,3.699,502.961,100.0,0.992,气层,气层优势类
延948-2,4183.5,48.36,38.473,164.056,21.765,2.723,2.999,3.708,698.465,100.0,1.04,气层,气层优势类
延948-2,4183.625,41.794,38.479,163.851,21.818,2.712,2.818,3.666,913.961,87.899,1.09,气层,气层优势类
延948-2,4183.75,34.758,38.483,163.312,21.819,2.702,2.62,3.602,1054.039,58.428,1.12,气层,气层优势类
延948-2,4183.875,30.053,38.483,162.655,21.788,2.696,2.466,3.564,1032.529,50.171,1.12,气层,气层优势类
延948-2,4184.0,27.766,38.483,162.25,21.747,2.696,2.399,3.552,879.93,51.535,1.08,气层,气层优势类
延948-2,4184.125,27.033,38.481,162.354,21.686,2.699,2.454,3.551,675.553,58.602,1.03,气层,气层优势类
延948-2,4184.25,27.093,38.48,162.821,21.611,2.706,2.616,3.522,508.45,68.876,1,气层,气层优势类
